Order ID,Vendor ID,Pickup Address,HubCN ID,Plan_Vendor_Pickup Time,Vendor_PickupTime
LECVN023619072304,CN08069,"Room 23D, Buliding B, Jing Xiu Da Xia Wen Jing Zhong Road, Luo Hu District, Shenzhen Guangdong, 518000",LECCNSZ,3/27/2022 2:22,3/29/2022 10:30
LECVN021460658673,CN23003,"4/F., No 21 South area XiLi town, Wang Tang industrial district",LECCNSZ,3/29/2022 11:46,4/1/2022 3:01
LECVN020548471343,CN05856,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/28/2022 1:36,3/29/2022 11:15
LECVN024361539813,CN55243,"4F,No.621,Airport Rd,Yiwu city,Zhejiang Province",LECCNYW,3/29/2022 8:13,3/29/2022 16:11
LECVN020818961193,CN69053,"5 F., NO.238 XUEFENG XI ROAD,YIWU CITY",LECCNYW,3/29/2022 22:04,3/29/2022 16:03
LECVN028973609843,CN20296,"703, Building A, High-Tech Venture Park, Tianan district",LECCNSZ,3/30/2022 1:53,4/1/2022 3:00
LECVN028568984143,CN96121,"Room 201,Unit 2,7# Building,Qiancheng Area,Yiwu City yiwu city CN",LECCNYW,3/27/2022 5:53,3/29/2022 17:48
LECVN029654651743,CN00328,"5/F, NO. 294 Fanshen Road, BaoAn Zone, China",LECCNSZ,3/27/2022 8:02,3/29/2022 8:07
LECVN025357597224,CN94105,"No.358,Shengshou RD,Chengxi Special Industrial Zone Yiwu City",LECCNYW,3/26/2022 15:13,3/26/2022 21:25
LECVN026470827863,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/27/2022 19:06,3/26/2022 21:04
LECVN021387592883,CN70331,5/F Dasan Litang district Yiwu City,LECCNYW,3/30/2022 14:09,4/1/2022 3:00
LECVN028603281033,CN93476,NO.96 QiaoDong street of JiangDong,LECCNYW,3/27/2022 1:46,3/29/2022 17:50
LECVN025968807343,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/28/2022 8:38,3/29/2022 2:45
LECVN022866576064,CN96121,"Room 201,Unit 2,7# Building,Qiancheng Area,Yiwu City yiwu city CN",LECCNYW,3/27/2022 14:16,3/29/2022 1:38
LECVN022137405003,CN25990,P.O.BOX 26-1-201 BEIYUANLINGYUNYIQU YIWU CITY yiwu city CN,LECCNYW,3/26/2022 20:54,3/29/2022 2:52
LECVN023300851623,CN56433,"Rm. 202, 2nd Floor, No. 2, Bldg. 41, Changchun 3rd Area, Yiwu city",LECCNYW,3/26/2022 23:52,3/29/2022 2:39
LECVN027966454213,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/27/2022 1:02,3/29/2022 3:01
LECVN022946975683,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/28/2022 14:48,3/29/2022 16:50
LECVN024463446564,CN98042,"No. 42 Dong Qiaodong 1th Dist, Yiwu City, Zhejiang, China Yiwu City",LECCNYW,3/30/2022 13:54,4/1/2022 3:00
LECVN023834610763,CN91249,"No.14519,District G of Yiwu International Trade Market 2,Yiwu City",LECCNYW,3/27/2022 20:53,3/29/2022 2:56
LECVN021570713683,CN08069,"Room 23D, Buliding B, Jing Xiu Da Xia Wen Jing Zhong Road, Luo Hu District, Shenzhen Guangdong, 518000",LECCNSZ,3/30/2022 7:47,4/1/2022 10:40
LECVN028845127463,CN01970,"RM 204, First Bldg, Tap Water Garden, Tianjinghu, #35 Huangbei Rd, Luohu Dist, P.R. China,",LECCNSZ,3/27/2022 20:00,3/30/2022 16:07
LECVN024531472663,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/25/2022 23:15,3/29/2022 2:42
LECVN026400192503,CN34621,"No. 7, Xinxing Lane, Jiangwan, Choujiang St., Yiwu City , Jinhua , Zhejiang China (Mainland) Yiwu City CN",LECCNYW,3/29/2022 8:32,3/29/2022 16:41
LECVN026753381024,CN96121,"Room 201,Unit 2,7# Building,Qiancheng Area,Yiwu City yiwu city CN",LECCNYW,3/25/2022 4:50,3/29/2022 16:53
LECVN022625231773,CN80546,"4F,NO.6,Building 28,Xiawang E District,Jiangdong Road,Yiwu",LECCNYW,3/29/2022 0:44,3/29/2022 16:39
LECVN026701247774,CN12633,"7/F, 3rd Jianxing Building, Chaguang industrial zone, Nanshan District, China China, 518055",LECCNSZ,3/28/2022 19:48,3/29/2022 9:26
LECVN027190463633,CN01970,"RM 204, First Bldg, Tap Water Garden, Tianjinghu, #35 Huangbei Rd, Luohu Dist, P.R. China,",LECCNSZ,3/25/2022 22:02,3/29/2022 10:40
LECVN029719237353,CN34679,"No.496,Chengdian South Road,Yiwu city,Zhejiang Province,China. Yiwu city CN",LECCNYW,3/27/2022 17:17,3/29/2022 17:17
LECVN026826345213,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/31/2022 3:49,4/2/2022 19:23
LECVN026895444884,CN41627,"201, No.12, Building No.18, XingZhong Area YiWu City CN",LECCNYW,3/29/2022 14:46,3/29/2022 20:09
LECVN025019188034,CN91856,"Building 1, No. 1077, Liuqing Road, Beiyuan",LECCNYW,3/26/2022 4:27,3/30/2022 10:00
LECVN028259705683,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/27/2022 5:46,3/29/2022 17:49
LECVN021677590034,CN70636,"NO. 2, Alley 49, Dongxing Industrial Zone, Qingkou, Jiangdong, Yiwu",LECCNYW,3/28/2022 14:49,3/29/2022 16:45
LECVN020530394204,CN80546,"4F,NO.6,Building 28,Xiawang E District,Jiangdong Road,Yiwu",LECCNYW,3/28/2022 5:17,3/29/2022 17:23
LECVN027416789313,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/26/2022 8:48,3/29/2022 0:19
LECVN020568745463,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/28/2022 9:04,3/30/2022 15:09
LECVN022726317373,CN23003,"4/F., No 21 South area XiLi town, Wang Tang industrial district",LECCNSZ,3/28/2022 20:01,3/30/2022 16:00
LECVN027516983163,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/28/2022 6:49,3/29/2022 16:48
LECVN020878740534,CN01710,"8c, Flat A, Huaqiang Garden, Shenzhen",LECCNSZ,3/28/2022 20:18,3/31/2022 20:18
LECVN026591016533,CN70636,"NO. 2, Alley 49, Dongxing Industrial Zone, Qingkou, Jiangdong, Yiwu",LECCNYW,3/28/2022 17:33,3/29/2022 17:36
LECVN026477499933,CN70636,"NO. 2, Alley 49, Dongxing Industrial Zone, Qingkou, Jiangdong, Yiwu",LECCNYW,3/25/2022 4:37,3/29/2022 16:53
LECVN022115609163,CN09482,"Rm# 18A, Unit 1, DuShiYangGuang Building, NO. 6017 Shennan Road",LECCNSZ,3/27/2022 21:20,3/29/2022 17:23
LECVN025682678973,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/29/2022 7:54,3/29/2022 16:02
LECVN023436683633,CN70331,5/F Dasan Litang district Yiwu City,LECCNYW,3/30/2022 9:57,4/1/2022 2:53
LECVN026138229803,CN25990,P.O.BOX 26-1-201 BEIYUANLINGYUNYIQU YIWU CITY yiwu city CN,LECCNYW,3/28/2022 4:32,3/30/2022 11:31
LECVN024940202653,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/29/2022 5:54,3/29/2022 16:00
LECVN028291968514,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/25/2022 22:04,3/29/2022 11:51
LECVN023018019724,CN05856,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/28/2022 19:33,3/30/2022 15:43
LECVN022888177633,CN95381,"No. 52 Xingyun Road, Jinsanjiao Industrial Zone, Yiwu City CN",LECCNYW,3/26/2022 6:19,3/30/2022 11:08
LECVN021925037033,CN15519,"5D Xinghua Bldg, Huali Garden, Huali Rd, GD",LECCNSZ,3/30/2022 8:01,4/1/2022 11:54
LECVN022023657703,CN23003,"4/F., No 21 South area XiLi town, Wang Tang industrial district",LECCNSZ,3/29/2022 16:49,3/31/2022 14:44
LECVN026315064893,CN41627,"201, No.12, Building No.18, XingZhong Area YiWu City CN",LECCNYW,3/27/2022 17:56,3/29/2022 15:47
LECVN021574030143,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/26/2022 13:03,3/29/2022 0:34
LECVN028574481793,CN91249,"No.14519,District G of Yiwu International Trade Market 2,Yiwu City",LECCNYW,3/30/2022 0:42,4/1/2022 2:45
LECVN021278474643,CN69053,"5 F., NO.238 XUEFENG XI ROAD,YIWU CITY",LECCNYW,3/27/2022 18:31,3/30/2022 11:36
LECVN022748918113,CN91236,"Gate 38, Longxiang Road, Niansanli Industrial development zone,YiWu City",LECCNYW,3/27/2022 9:57,3/29/2022 17:10
LECVN023295195943,CN52975,"room 302, No.22 of wenhua road, yijiashan district, yiwu city yiwu city CN",LECCNYW,3/28/2022 9:59,4/1/2022 3:07
LECVN027122305413,CN34621,"No. 7, Xinxing Lane, Jiangwan, Choujiang St., Yiwu City , Jinhua , Zhejiang China (Mainland) Yiwu City CN",LECCNYW,3/28/2022 5:04,3/29/2022 16:47
LECVN024153494464,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/30/2022 14:42,3/29/2022 20:11
LECVN029773900973,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/27/2022 0:14,3/29/2022 11:19
LECVN027204606253,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/29/2022 7:38,3/31/2022 14:49
LECVN022948648673,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/28/2022 21:15,3/29/2022 17:28
LECVN027347891303,CN11320,"RM1109, DINGXIN BUILDING WEST, XILI, NANSHAN, CHINA China, 518039",LECCNSZ,3/26/2022 21:45,3/29/2022 11:29
LECVN029579901113,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/26/2022 13:57,3/26/2022 19:04
LECVN021432582193,CN14209,"Room823, 8/F, Jiejia Plaza, No.3037, Shennanzhong Rd",LECCNSZ,3/27/2022 21:18,3/29/2022 17:18
LECVN021253926264,CN69607,"No.22 ZhaoZhai ped. street, yiwu",LECCNYW,3/26/2022 20:03,3/29/2022 17:03
LECVN022652069033,CN34621,"No. 7, Xinxing Lane, Jiangwan, Choujiang St., Yiwu City , Jinhua , Zhejiang China (Mainland) Yiwu City CN",LECCNYW,3/28/2022 14:35,3/29/2022 19:58
LECVN020309347563,CN00328,"5/F, NO. 294 Fanshen Road, BaoAn Zone, China",LECCNSZ,3/28/2022 22:32,3/30/2022 17:16
LECVN023062583933,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/28/2022 8:29,3/30/2022 16:28
LECVN027822585873,CN01710,"8c, Flat A, Huaqiang Garden, Shenzhen",LECCNSZ,3/30/2022 15:46,4/1/2022 7:45
LECVN027026131143,CN08069,"Room 23D, Buliding B, Jing Xiu Da Xia Wen Jing Zhong Road, Luo Hu District, Shenzhen Guangdong, 518000",LECCNSZ,3/28/2022 7:43,4/1/2022 11:40
LECVN026191312283,CN93476,NO.96 QiaoDong street of JiangDong,LECCNYW,3/26/2022 2:15,3/29/2022 18:07
LECVN028199248684,CN96121,"Room 201,Unit 2,7# Building,Qiancheng Area,Yiwu City yiwu city CN",LECCNYW,3/26/2022 22:49,3/29/2022 0:21
LECVN029990872023,CN91856,"Building 1, No. 1077, Liuqing Road, Beiyuan",LECCNYW,3/28/2022 20:49,4/1/2022 3:42
LECVN024773942363,CN25990,P.O.BOX 26-1-201 BEIYUANLINGYUNYIQU YIWU CITY yiwu city CN,LECCNYW,3/28/2022 18:49,4/1/2022 1:04
LECVN020250708863,CN88991,"2/F, No.3, Yongsheng Xiaoqu No.21, Yiwu, Zhejiang",LECCNYW,3/27/2022 17:39,3/29/2022 17:41
LECVN028155037143,CN34621,"No. 7, Xinxing Lane, Jiangwan, Choujiang St., Yiwu City , Jinhua , Zhejiang China (Mainland) Yiwu City CN",LECCNYW,3/28/2022 7:39,3/30/2022 17:30
LECVN028852893883,CN15519,"5D Xinghua Bldg, Huali Garden, Huali Rd, GD",LECCNSZ,3/29/2022 10:23,3/31/2022 17:20
LECVN027015516393,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/29/2022 21:51,4/1/2022 3:00
LECVN026314970723,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/27/2022 8:16,3/29/2022 18:13
LECVN024752371693,CN93476,NO.96 QiaoDong street of JiangDong,LECCNYW,3/28/2022 9:15,3/29/2022 3:13
LECVN021822229043,CN94806,"No.11,Mucheng Village, Suxi Town, Yiwu City",LECCNYW,3/29/2022 22:49,4/1/2022 0:52
LECVN024631469633,CN19661,"No.16, Changjin Rd, Changjiang Bu Industry District, Henggang Town, . Shenzhen Guangdong, 518115",LECCNSZ,3/29/2022 7:39,3/29/2022 9:26
LECVN029537013964,CN15519,"5D Xinghua Bldg, Huali Garden, Huali Rd, GD",LECCNSZ,3/26/2022 21:51,3/29/2022 11:42
LECVN025829867694,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/27/2022 12:36,3/29/2022 1:57
LECVN025716861674,CN19661,"No.16, Changjin Rd, Changjiang Bu Industry District, Henggang Town, . Shenzhen Guangdong, 518115",LECCNSZ,3/27/2022 18:39,4/1/2022 10:42
LECVN027941949793,CN93476,NO.96 QiaoDong street of JiangDong,LECCNYW,3/30/2022 14:10,4/1/2022 1:12
LECVN020384087613,CN93476,NO.96 QiaoDong street of JiangDong,LECCNYW,3/26/2022 2:38,3/27/2022 20:07
LECVN026093608543,CN88991,"2/F, No.3, Yongsheng Xiaoqu No.21, Yiwu, Zhejiang",LECCNYW,3/27/2022 1:46,3/26/2022 19:02
LECVN024003351383,CN73456,"2 Jiangdong Road,Yiwu",LECCNYW,3/26/2022 4:55,3/29/2022 16:59
LECVN024988184294,CN26450,"2/F,NO.5 ,Building 13, Yinhai YiQu,Yiwu City Yiwu City CN",LECCNYW,3/31/2022 7:58,4/1/2022 20:24
LECVN024873820354,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/29/2022 10:37,4/1/2022 2:40
LECVN026393477494,CN73456,"2 Jiangdong Road,Yiwu",LECCNYW,3/30/2022 18:33,3/29/2022 20:14
LECVN028298588493,CN59935,"201,NO.5,15 Building,ShangHe XiaoQu,HouZhai,Yiwu",LECCNYW,3/28/2022 9:50,4/1/2022 2:47
LECVN021470961703,CN85292,"4F, Market Rd.3-7,Yiwu,Zhejiang",LECCNYW,3/28/2022 21:19,3/29/2022 3:16
LECVN021557307413,CN28326,No.755 west xuefeng road Yiwu City CN,LECCNYW,3/29/2022 21:47,3/29/2022 15:54
LECVN022391107294,CN08863,"P.O.Box 67, Room A6, 8th Floor, East of Building2, Seg Science and Technology Park, Huaqiang Road, Futian District",LECCNSZ,3/29/2022 21:16,3/31/2022 15:26
LECVN028072248983,CN27928,"No.5 , Building 15 ,Zijing District 3 , Xialuozhai Yiwu City CN",LECCNYW,3/28/2022 7:06,3/29/2022 17:25
LECVN028804970833,CN70331,5/F Dasan Litang district Yiwu City,LECCNYW,3/29/2022 23:51,4/1/2022 0:46
LECVN020236528563,CN00328,"5/F, NO. 294 Fanshen Road, BaoAn Zone, China",LECCNSZ,3/30/2022 11:38,3/31/2022 17:34
LECVN024604411113,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/27/2022 5:27,3/30/2022 8:52
LECVN021705046654,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/26/2022 20:22,3/29/2022 17:16
LECVN022779561543,CN69053,"5 F., NO.238 XUEFENG XI ROAD,YIWU CITY",LECCNYW,3/25/2022 21:02,3/29/2022 2:33
LECVN023321932894,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/27/2022 21:37,3/29/2022 11:30
LECVN021095618213,CN41627,"201, No.12, Building No.18, XingZhong Area YiWu City CN",LECCNYW,3/28/2022 18:33,3/29/2022 16:41
LECVN026130279003,CN15519,"5D Xinghua Bldg, Huali Garden, Huali Rd, GD",LECCNSZ,3/28/2022 21:22,3/29/2022 9:06
LECVN027061475623,CN14209,"Room823, 8/F, Jiejia Plaza, No.3037, Shennanzhong Rd",LECCNSZ,3/23/2022 17:46,3/28/2022 15:53
LECVN023646180093,CN80546,"4F,NO.6,Building 28,Xiawang E District,Jiangdong Road,Yiwu",LECCNYW,3/25/2022 14:01,3/26/2022 19:13
LECVN021723774083,CN11320,"RM1109, DINGXIN BUILDING WEST, XILI, NANSHAN, CHINA China, 518039",LECCNSZ,3/29/2022 9:15,3/29/2022 17:18
LECVN020507357873,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/28/2022 20:42,3/29/2022 16:42
LECVN027375269143,CN41627,"201, No.12, Building No.18, XingZhong Area YiWu City CN",LECCNYW,3/26/2022 9:08,3/29/2022 2:33
LECVN023084759233,CN00328,"5/F, NO. 294 Fanshen Road, BaoAn Zone, China",LECCNSZ,3/30/2022 13:25,4/1/2022 10:07
LECVN025981077393,CN75189,"No. 6, Building 3, Shanghong East District, Houzhai Street,Yiwu,Zhejiang,China",LECCNYW,3/30/2022 13:44,4/1/2022 2:47
LECVN026269008183,CN73456,"2 Jiangdong Road,Yiwu",LECCNYW,3/28/2022 16:59,3/29/2022 17:02
LECVN024174410093,CN69053,"5 F., NO.238 XUEFENG XI ROAD,YIWU CITY",LECCNYW,3/26/2022 23:48,3/29/2022 0:25
LECVN027267884903,CN56433,"Rm. 202, 2nd Floor, No. 2, Bldg. 41, Changchun 3rd Area, Yiwu city",LECCNYW,3/26/2022 6:11,3/29/2022 17:10
LECVN023239217773,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/27/2022 5:45,3/30/2022 11:45
LECVN020354225134,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/28/2022 17:23,3/29/2022 17:19
LECVN024586614393,CN14209,"Room823, 8/F, Jiejia Plaza, No.3037, Shennanzhong Rd",LECCNSZ,3/29/2022 0:14,3/30/2022 16:12
LECVN029549665493,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/26/2022 9:45,3/29/2022 0:02
LECVN027425870413,CN25990,P.O.BOX 26-1-201 BEIYUANLINGYUNYIQU YIWU CITY yiwu city CN,LECCNYW,3/26/2022 16:01,3/30/2022 9:21
LECVN024454189993,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/30/2022 10:04,4/1/2022 2:50
LECVN022727293113,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/26/2022 14:07,3/29/2022 18:19
LECVN020087071103,CN11320,"RM1109, DINGXIN BUILDING WEST, XILI, NANSHAN, CHINA China, 518039",LECCNSZ,3/29/2022 7:51,3/31/2022 14:59
LECVN021072786013,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/26/2022 20:28,3/30/2022 16:32
LECVN029155133053,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/24/2022 20:55,3/29/2022 0:27
LECVN027030985373,CN54850,"No. 755, West Xuefeng Road Yiwu City CN",LECCNYW,3/27/2022 14:36,3/26/2022 20:08
LECVN023983253414,CN00328,"5/F, NO. 294 Fanshen Road, BaoAn Zone, China",LECCNSZ,3/25/2022 5:22,3/28/2022 15:19
LECVN020103363143,CN08069,"Room 23D, Buliding B, Jing Xiu Da Xia Wen Jing Zhong Road, Luo Hu District, Shenzhen Guangdong, 518000",LECCNSZ,3/29/2022 11:44,3/30/2022 15:42
LECVN026101450893,CN70331,5/F Dasan Litang district Yiwu City,LECCNYW,3/31/2022 13:59,4/1/2022 19:21
LECVN025508229124,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/28/2022 13:31,3/29/2022 2:11
LECVN021659093123,CN59935,"201,NO.5,15 Building,ShangHe XiaoQu,HouZhai,Yiwu",LECCNYW,3/29/2022 8:06,3/29/2022 16:13
LECVN028110504653,CN20296,"703, Building A, High-Tech Venture Park, Tianan district",LECCNSZ,3/24/2022 17:44,3/28/2022 15:52
LECVN026982903714,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/26/2022 16:50,3/29/2022 16:50
LECVN029519169013,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/28/2022 13:34,3/29/2022 1:57
LECVN021384292873,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/27/2022 18:28,3/30/2022 11:30
LECVN024522632313,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/27/2022 3:37,3/30/2022 9:10
LECVN025889606153,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/28/2022 10:45,3/29/2022 2:14
LECVN029660672843,CN39062,"Floor 2, No.1, Building 65, Qiancheng Area Yiwu City CN",LECCNYW,3/27/2022 6:12,3/29/2022 18:23
LECVN027831073653,CN52975,"room 302, No.22 of wenhua road, yijiashan district, yiwu city yiwu city CN",LECCNYW,3/28/2022 5:54,3/30/2022 10:22
LECVN024292482833,CN41627,"201, No.12, Building No.18, XingZhong Area YiWu City CN",LECCNYW,3/25/2022 8:50,3/29/2022 0:14
LECVN024014676594,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/26/2022 20:24,3/29/2022 18:28
LECVN029886064254,CN70636,"NO. 2, Alley 49, Dongxing Industrial Zone, Qingkou, Jiangdong, Yiwu",LECCNYW,3/27/2022 20:27,3/29/2022 18:23
LECVN024780661943,CN75189,"No. 6, Building 3, Shanghong East District, Houzhai Street,Yiwu,Zhejiang,China",LECCNYW,3/30/2022 0:35,4/1/2022 2:39
