Order ID,Customer ID,HubVN ID,Plan_HubVN_Receiving Time,HubVN_Receiving Time,Plan_HubVN_Pickup Time,HubVN_Pickup Time
LECVN026470827863,VN6823375,LECVNHĐ,3/31/2022 6:23,4/1/2022 6:38,3/31/2022 8:23,4/1/2022 9:14
LECVN021387592883,VN7104104,LECVNHĐ,4/3/2022 12:32,4/4/2022 12:15,4/3/2022 14:32,4/4/2022 15:13
LECVN028603281033,VN3482709,LECVNTL,4/1/2022 6:11,4/2/2022 6:16,4/1/2022 8:11,4/2/2022 8:27
LECVN025968807343,VN9633524,LECVNLB,4/2/2022 12:31,4/2/2022 12:02,4/2/2022 14:31,4/2/2022 14:20
LECVN022866576064,VN9048419,LECVNLB,4/1/2022 6:38,4/1/2022 12:02,4/1/2022 8:38,4/1/2022 14:34
LECVN022137405003,VN4170038,LECVNHĐ,4/1/2022 6:51,4/1/2022 12:09,4/1/2022 8:51,4/1/2022 14:38
LECVN023300851623,VN7338363,LECVNLB,4/1/2022 12:25,4/1/2022 12:00,4/1/2022 14:25,4/1/2022 13:05
LECVN027966454213,VN2620999,LECVNLB,3/31/2022 12:23,4/1/2022 12:14,3/31/2022 14:23,4/1/2022 13:17
LECVN022946975683,VN8991358,LECVNLB,4/2/2022 12:13,4/3/2022 6:37,4/2/2022 14:13,4/3/2022 9:23
LECVN024463446564,VN23702,LECVNLB,4/4/2022 12:53,4/4/2022 12:12,4/4/2022 14:53,4/4/2022 15:16
LECVN023834610763,VN7306550,LECVNLB,4/2/2022 6:39,4/2/2022 12:11,4/2/2022 8:39,4/2/2022 14:49
LECVN021570713683,VN7175199,LECVNLB,4/4/2022 6:23,4/4/2022 12:49,4/4/2022 8:23,4/4/2022 15:44
LECVN028845127463,VN7104104,LECVNLB,4/1/2022 12:11,4/2/2022 6:27,4/1/2022 14:11,4/2/2022 8:29
LECVN024531472663,VN6912690,LECVNHĐ,4/1/2022 12:03,4/1/2022 12:50,4/1/2022 14:03,4/1/2022 13:48
LECVN026400192503,VN6467420,LECVNLB,4/2/2022 12:00,4/3/2022 6:32,4/2/2022 14:00,4/3/2022 9:19
LECVN026753381024,VN3998376,LECVNLB,4/1/2022 6:19,4/2/2022 6:04,4/1/2022 8:19,4/2/2022 8:15
LECVN022625231773,VN7187084,LECVNTL,4/2/2022 12:13,4/3/2022 6:32,4/2/2022 14:13,4/3/2022 8:54
LECVN026701247774,VN3959007,LECVNLB,4/2/2022 6:00,4/2/2022 12:54,4/2/2022 8:00,4/2/2022 15:14
LECVN027190463633,VN6159273,LECVNLB,3/31/2022 12:33,4/1/2022 12:56,3/31/2022 14:33,4/1/2022 15:16
LECVN029719237353,VN1652968,LECVNLB,4/2/2022 12:11,4/3/2022 6:24,4/2/2022 14:11,4/3/2022 8:46
LECVN026826345213,VN2377988,LECVNHĐ,4/3/2022 6:00,4/6/2022 6:15,4/3/2022 8:00,6/4/2022 8:41
LECVN026895444884,VN8461531,LECVNLB,4/3/2022 6:27,4/4/2022 6:30,4/3/2022 8:27,4/4/2022 9:34
LECVN025019188034,VN6883266,LECVNLB,4/2/2022 12:09,4/3/2022 12:08,4/2/2022 14:09,4/3/2022 14:50
LECVN028259705683,VN7240002,LECVNTL,4/1/2022 6:43,4/2/2022 6:14,4/1/2022 8:43,4/2/2022 8:34
LECVN021677590034,VN4108528,LECVNLB,4/2/2022 12:10,4/3/2022 6:37,4/2/2022 14:10,4/3/2022 9:22
LECVN020530394204,VN4115729,LECVNLB,4/1/2022 6:20,4/2/2022 6:35,4/1/2022 8:20,4/2/2022 9:17
LECVN027416789313,VN3249902,LECVNLB,4/1/2022 12:00,4/1/2022 12:33,4/1/2022 14:00,4/1/2022 13:39
LECVN020568745463,VN4910021,LECVNLB,4/1/2022 6:02,4/2/2022 6:55,4/1/2022 8:02,4/2/2022 8:57
LECVN022726317373,VN9036584,LECVNLB,4/1/2022 12:41,4/2/2022 6:18,4/1/2022 14:41,4/2/2022 9:00
LECVN027516983163,VN2351886,LECVNLB,4/2/2022 12:03,4/3/2022 6:32,4/2/2022 14:03,4/3/2022 8:48
LECVN020878740534,VN1394231,LECVNHĐ,4/2/2022 12:55,4/3/2022 12:00,4/2/2022 14:55,4/3/2022 14:35
LECVN026591016533,VN3115195,LECVNLB,4/1/2022 12:03,4/2/2022 6:47,4/1/2022 14:03,4/2/2022 9:29
LECVN026477499933,VN29239,LECVNTL,4/1/2022 6:23,4/2/2022 6:04,4/1/2022 8:23,4/2/2022 8:23
LECVN022115609163,VN7079223,LECVNLB,4/2/2022 6:37,4/3/2022 6:05,4/2/2022 8:37,4/3/2022 8:17
LECVN025682678973,VN5094183,LECVNTL,4/2/2022 12:09,4/3/2022 6:53,4/2/2022 14:09,4/3/2022 9:58
LECVN023436683633,VN9017616,LECVNLB,4/4/2022 6:57,4/4/2022 12:12,4/4/2022 8:57,4/4/2022 14:40
LECVN026138229803,VN4321433,LECVNHĐ,4/2/2022 12:30,4/3/2022 12:46,4/2/2022 14:30,4/3/2022 15:51
LECVN024940202653,VN7255255,LECVNLB,4/2/2022 12:50,4/3/2022 6:46,4/2/2022 14:50,4/3/2022 9:47
LECVN028291968514,VN8724999,LECVNTL,3/31/2022 12:48,4/1/2022 12:32,3/31/2022 14:48,4/1/2022 13:03
LECVN023018019724,VN7722882,LECVNLB,4/1/2022 6:52,4/2/2022 6:01,4/1/2022 8:52,4/2/2022 9:29
LECVN022888177633,VN7608433,LECVNLB,4/2/2022 12:56,4/3/2022 12:29,4/2/2022 14:56,4/3/2022 15:33
LECVN021925037033,VN2103887,LECVNLB,4/4/2022 12:42,4/4/2022 12:32,4/4/2022 14:42,4/4/2022 15:30
LECVN022023657703,VN7150690,LECVNLB,4/3/2022 6:11,4/4/2022 6:00,4/3/2022 8:11,4/4/2022 9:12
LECVN026315064893,VN92322,LECVNLB,4/2/2022 12:21,4/3/2022 6:44,4/2/2022 14:21,4/3/2022 9:46
LECVN021574030143,VN3810081,LECVNTL,4/1/2022 12:10,4/1/2022 12:45,4/1/2022 14:10,4/1/2022 13:42
LECVN028574481793,VN7921779,LECVNHĐ,4/4/2022 12:10,4/4/2022 12:30,4/4/2022 14:10,4/4/2022 15:31
LECVN021278474643,VN5051409,LECVNHĐ,4/2/2022 12:36,4/3/2022 12:43,4/2/2022 14:36,4/3/2022 15:52
LECVN022748918113,VN7826172,LECVNHĐ,4/1/2022 12:23,4/2/2022 6:20,4/1/2022 14:23,4/2/2022 8:11
LECVN023295195943,VN3072615,LECVNLB,4/4/2022 12:34,4/4/2022 12:21,4/4/2022 14:34,4/4/2022 15:16
LECVN027122305413,VN8134726,LECVNLB,4/2/2022 12:57,4/3/2022 6:38,4/2/2022 14:57,4/3/2022 9:12
LECVN024153494464,VN8267907,LECVNTL,4/3/2022 12:18,4/4/2022 6:48,4/3/2022 14:18,4/4/2022 9:16
LECVN029773900973,VN8699362,LECVNLB,4/1/2022 6:03,4/1/2022 12:43,4/1/2022 8:03,4/1/2022 15:19
LECVN027204606253,VN75706,LECVNLB,4/3/2022 6:50,4/4/2022 6:00,4/3/2022 8:50,4/4/2022 8:21
LECVN022948648673,VN9035543,LECVNLB,4/2/2022 12:24,4/3/2022 6:10,4/2/2022 14:24,4/3/2022 9:08
LECVN027347891303,VN5416315,LECVNLB,4/1/2022 6:37,4/1/2022 12:18,4/1/2022 8:37,4/1/2022 13:24
LECVN029579901113,VN8797695,LECVNLB,3/31/2022 6:24,4/1/2022 6:12,3/31/2022 8:24,4/1/2022 8:55
LECVN021432582193,VN7082643,LECVNLB,4/2/2022 12:03,4/3/2022 6:48,4/2/2022 14:03,4/3/2022 9:57
LECVN021253926264,VN9226598,LECVNLB,4/1/2022 6:51,4/2/2022 6:21,4/1/2022 8:51,4/2/2022 8:21
LECVN022652069033,VN17428,LECVNLB,4/3/2022 6:59,4/4/2022 6:16,4/3/2022 8:59,4/4/2022 9:13
LECVN020309347563,VN6109210,LECVNLB,4/2/2022 12:57,4/4/2022 6:50,4/2/2022 14:57,4/4/2022 9:52
LECVN023062583933,VN4855664,LECVNLB,4/1/2022 6:48,4/2/2022 6:45,4/1/2022 8:48,4/2/2022 8:29
LECVN027822585873,VN3048805,LECVNHĐ,4/4/2022 6:26,4/4/2022 12:02,4/4/2022 8:26,4/4/2022 14:57
LECVN027026131143,VN5078896,LECVNLB,4/4/2022 12:00,4/4/2022 12:25,4/4/2022 14:00,4/4/2022 15:29
LECVN026191312283,VN7079223,LECVNLB,4/1/2022 6:14,4/2/2022 6:40,4/1/2022 8:14,4/2/2022 9:22
LECVN028199248684,VN5776115,LECVNLB,4/1/2022 6:38,4/1/2022 12:33,4/1/2022 8:38,4/1/2022 13:37
LECVN029990872023,VN9079325,LECVNLB,4/4/2022 6:09,4/4/2022 12:57,4/4/2022 8:09,4/4/2022 15:49
LECVN024773942363,VN7446504,LECVNHĐ,4/4/2022 6:50,4/4/2022 12:10,4/4/2022 8:50,4/4/2022 14:44
LECVN020250708863,VN3719252,LECVNLB,4/1/2022 12:06,4/2/2022 6:12,4/1/2022 14:06,4/2/2022 8:54
LECVN028155037143,VN4374417,LECVNLB,4/1/2022 12:42,4/4/2022 6:46,4/1/2022 14:42,4/4/2022 9:28
LECVN028852893883,VN8270575,LECVNHĐ,4/2/2022 12:05,4/5/2022 6:10,4/2/2022 14:05,4/5/2022 14:10
LECVN027015516393,VN3705550,LECVNHĐ,4/3/2022 12:04,4/4/2022 12:11,4/3/2022 14:04,4/4/2022 15:15
LECVN026314970723,VN8082476,LECVNTL,4/1/2022 6:15,4/2/2022 6:45,4/1/2022 8:15,4/2/2022 8:56
LECVN024752371693,VN7000253,LECVNHĐ,4/2/2022 12:05,4/2/2022 12:31,4/2/2022 14:05,4/2/2022 14:52
LECVN021822229043,VN8940343,LECVNLB,4/4/2022 6:05,4/4/2022 12:02,4/4/2022 8:05,4/4/2022 14:35
LECVN024631469633,VN9215675,LECVNLB,4/2/2022 6:04,4/2/2022 12:17,4/2/2022 8:04,4/2/2022 14:33
LECVN029537013964,VN4007250,LECVNLB,3/31/2022 12:20,4/1/2022 12:33,3/31/2022 14:20,4/1/2022 13:38
LECVN025829867694,VN4963806,LECVNLB,4/1/2022 6:10,4/1/2022 12:14,4/1/2022 8:10,4/1/2022 15:24
LECVN025716861674,VN6728773,LECVNLB,4/4/2022 12:53,4/4/2022 12:11,4/4/2022 14:53,4/4/2022 15:07
LECVN027941949793,VN2680036,LECVNLB,4/4/2022 12:03,4/4/2022 12:23,4/4/2022 14:03,4/4/2022 15:18
LECVN020384087613,VN6919051,LECVNLB,3/31/2022 12:13,4/2/2022 6:18,3/31/2022 14:13,4/2/2022 8:35
LECVN026093608543,VN9248479,LECVNLB,3/31/2022 12:57,4/1/2022 6:05,3/31/2022 14:57,4/1/2022 8:27
LECVN024003351383,VN5926773,LECVNTL,4/1/2022 6:10,4/2/2022 6:12,4/1/2022 8:10,4/2/2022 8:31
LECVN024988184294,VN4091260,LECVNTL,4/3/2022 12:56,4/6/2022 6:37,4/3/2022 14:56,4/6/2022 9:32
LECVN024873820354,VN2514444,LECVNLB,4/4/2022 6:57,4/4/2022 12:34,4/4/2022 8:57,4/4/2022 15:05
LECVN026393477494,VN9673622,LECVNLB,4/3/2022 12:37,4/4/2022 6:21,4/3/2022 14:37,4/4/2022 8:56
LECVN028298588493,VN6660436,LECVNLB,4/4/2022 12:25,4/4/2022 12:40,4/4/2022 14:25,4/4/2022 15:36
LECVN021470961703,VN6827678,LECVNHĐ,4/2/2022 6:04,4/2/2022 12:30,4/2/2022 8:04,4/2/2022 14:52
LECVN021557307413,VN7525922,LECVNTL,4/2/2022 12:12,4/3/2022 6:51,4/2/2022 14:12,4/3/2022 9:21
LECVN022391107294,VN4892133,LECVNLB,4/3/2022 12:08,4/4/2022 6:34,4/3/2022 14:08,4/4/2022 9:34
LECVN028072248983,VN5360288,LECVNLB,4/2/2022 12:36,4/3/2022 6:22,4/2/2022 14:36,4/3/2022 9:11
LECVN028804970833,VN2633198,LECVNLB,4/4/2022 6:43,4/4/2022 12:02,4/4/2022 8:43,4/4/2022 14:36
LECVN020236528563,VN4329369,LECVNLB,4/2/2022 12:05,4/5/2022 6:20,4/2/2022 14:05,4/5/2022 8:41
LECVN024604411113,VN9411145,LECVNLB,4/2/2022 12:33,4/3/2022 12:09,4/2/2022 14:33,4/3/2022 14:54
LECVN021705046654,VN2590367,LECVNLB,4/1/2022 12:54,4/2/2022 6:36,4/1/2022 14:54,4/2/2022 8:38
LECVN022779561543,VN7160519,LECVNLB,4/1/2022 6:57,4/1/2022 12:49,4/1/2022 8:57,4/1/2022 15:29
LECVN023321932894,VN7503431,LECVNLB,3/31/2022 12:30,4/1/2022 12:16,3/31/2022 14:30,4/1/2022 14:47
LECVN021095618213,VN1471031,LECVNLB,4/2/2022 12:22,4/3/2022 6:26,4/2/2022 14:22,4/3/2022 8:43
LECVN026130279003,VN6648590,LECVNLB,4/2/2022 6:01,4/2/2022 12:37,4/2/2022 8:01,4/2/2022 15:17
LECVN027061475623,VN3461097,LECVNTL,3/31/2022 12:24,4/1/2022 6:39,3/31/2022 14:24,4/1/2022 9:29
LECVN023646180093,VN4361393,LECVNLB,3/31/2022 6:27,4/1/2022 6:13,3/31/2022 8:27,4/1/2022 8:50
LECVN021723774083,VN4810600,LECVNLB,4/2/2022 12:08,4/3/2022 6:05,4/2/2022 14:08,4/3/2022 9:13
LECVN020507357873,VN9242865,LECVNLB,4/2/2022 12:01,4/3/2022 6:36,4/2/2022 14:01,4/3/2022 8:51
LECVN027375269143,VN4365683,LECVNLB,3/31/2022 12:28,4/1/2022 12:56,3/31/2022 14:28,4/1/2022 15:26
LECVN023084759233,VN3579991,LECVNLB,4/4/2022 6:10,4/4/2022 12:39,4/4/2022 8:10,4/4/2022 15:36
LECVN025981077393,VN1439718,LECVNLB,4/4/2022 6:05,4/4/2022 12:38,4/4/2022 8:05,4/4/2022 15:36
LECVN026269008183,VN1086314,LECVNHĐ,4/2/2022 12:32,4/3/2022 6:07,4/2/2022 14:32,4/3/2022 9:21
LECVN024174410093,VN1701184,LECVNLB,4/1/2022 6:44,4/1/2022 12:39,4/1/2022 8:44,4/1/2022 13:32
LECVN027267884903,VN2344933,LECVNTL,4/1/2022 6:20,4/2/2022 6:25,4/1/2022 8:20,4/2/2022 8:43
LECVN023239217773,VN1815125,LECVNLB,4/3/2022 12:18,4/3/2022 12:59,4/3/2022 14:18,4/3/2022 16:05
LECVN020354225134,VN82362,LECVNLB,4/2/2022 12:23,4/3/2022 6:31,4/2/2022 14:23,4/3/2022 9:20
LECVN024586614393,VN4319316,LECVNHĐ,4/1/2022 6:29,4/2/2022 6:30,4/1/2022 8:29,4/2/2022 9:00
LECVN029549665493,VN4929064,LECVNLB,4/1/2022 12:23,4/1/2022 12:26,4/1/2022 14:23,4/1/2022 15:14
LECVN027425870413,VN6574444,LECVNTL,4/2/2022 12:40,4/3/2022 12:41,4/2/2022 14:40,4/3/2022 15:53
LECVN024454189993,VN7572050,LECVNLB,4/4/2022 6:18,4/4/2022 12:12,4/4/2022 8:18,4/4/2022 15:10
LECVN022727293113,VN5245160,LECVNHĐ,4/1/2022 12:11,4/2/2022 6:44,4/1/2022 14:11,4/2/2022 8:41
LECVN020087071103,VN9400940,LECVNLB,4/3/2022 12:33,4/4/2022 6:10,4/3/2022 14:33,4/4/2022 9:18
LECVN021072786013,VN6488528,LECVNLB,4/1/2022 6:53,4/2/2022 6:48,4/1/2022 8:53,4/2/2022 8:56
LECVN029155133053,VN8917495,LECVNLB,4/1/2022 12:19,4/1/2022 12:42,4/1/2022 14:19,4/1/2022 13:56
LECVN027030985373,VN3328577,LECVNLB,3/31/2022 6:20,4/1/2022 6:19,3/31/2022 8:20,4/1/2022 9:03
LECVN023983253414,VN6339235,LECVNLB,3/31/2022 12:28,4/1/2022 6:49,3/31/2022 14:28,4/1/2022 8:40
LECVN020103363143,VN4083226,LECVNLB,4/1/2022 12:59,4/2/2022 6:05,4/1/2022 14:59,4/2/2022 7:52
LECVN026101450893,VN6279524,LECVNLB,4/3/2022 6:55,4/6/2022 6:12,4/3/2022 8:55,4/6/2022 8:31
LECVN025508229124,VN7150985,LECVNLB,4/2/2022 6:55,4/2/2022 12:21,4/2/2022 8:55,4/2/2022 14:59
LECVN021659093123,VN4883218,LECVNTL,4/2/2022 12:40,4/3/2022 6:55,4/2/2022 14:40,4/3/2022 10:02
LECVN028110504653,VN9291387,LECVNLB,3/31/2022 6:04,4/1/2022 6:33,3/31/2022 8:04,4/1/2022 9:07
LECVN026982903714,VN2786566,LECVNHĐ,4/1/2022 12:33,4/2/2022 6:06,4/1/2022 14:33,4/2/2022 8:43
LECVN029519169013,VN6831993,LECVNHĐ,4/1/2022 12:45,4/2/2022 12:15,4/1/2022 14:45,4/2/2022 14:34
LECVN021384292873,VN5934165,LECVNLB,4/2/2022 12:34,4/3/2022 12:42,4/2/2022 14:34,4/3/2022 15:52
LECVN024522632313,VN6795833,LECVNHĐ,4/3/2022 12:00,4/3/2022 12:26,4/3/2022 14:00,4/3/2022 15:35
LECVN025889606153,VN9943889,LECVNLB,4/2/2022 12:56,4/2/2022 12:35,4/2/2022 14:56,4/2/2022 15:12
LECVN029660672843,VN6494703,LECVNLB,4/1/2022 6:43,4/2/2022 6:50,4/1/2022 8:43,4/2/2022 9:32
LECVN027831073653,VN2000522,LECVNLB,4/3/2022 6:11,4/3/2022 12:41,4/3/2022 8:11,4/3/2022 15:08
LECVN024292482833,VN5120716,LECVNLB,4/1/2022 6:07,4/1/2022 12:31,4/1/2022 8:07,4/1/2022 15:21
LECVN024014676594,VN7503641,LECVNTL,4/1/2022 6:57,4/2/2022 6:55,4/1/2022 8:57,4/2/2022 8:55
LECVN029886064254,VN6006307,LECVNTL,4/1/2022 6:02,4/2/2022 6:48,4/1/2022 8:02,4/2/2022 9:01
LECVN024780661943,VN5245160,LECVNLB,4/4/2022 6:25,4/4/2022 12:28,4/4/2022 8:25,4/4/2022 14:57
LECVN020350253924,VN7458396,LECVNHĐ,4/1/2022 12:10,4/2/2022 6:37,4/1/2022 14:10,4/2/2022 9:14
LECVN023304441363,VN8307961,LECVNLB,4/2/2022 12:30,4/2/2022 12:48,4/2/2022 14:30,4/2/2022 15:30
LECVN026040644063,VN67723,LECVNLB,4/3/2022 6:45,4/4/2022 6:39,4/3/2022 8:45,4/4/2022 9:38
LECVN025258467333,VN2985865,LECVNTL,4/1/2022 6:50,4/2/2022 6:09,4/1/2022 8:50,4/2/2022 8:26
LECVN021297129673,VN5073959,LECVNLB,3/31/2022 12:06,4/1/2022 12:49,3/31/2022 14:06,4/1/2022 13:55
LECVN021546631543,VN2556456,LECVNLB,3/31/2022 6:19,4/1/2022 6:10,3/31/2022 8:19,4/1/2022 8:54
LECVN028597908223,VN8409914,LECVNHĐ,4/1/2022 6:32,4/1/2022 12:12,4/1/2022 8:32,4/1/2022 13:48
LECVN023979055113,VN6793664,LECVNLB,4/1/2022 12:01,4/2/2022 12:51,4/1/2022 14:01,4/2/2022 15:16
LECVN021441775423,VN6846412,LECVNTL,3/31/2022 6:39,4/1/2022 6:07,3/31/2022 8:39,4/1/2022 8:23
LECVN024408794104,VN1222125,LECVNLB,4/3/2022 6:43,4/3/2022 12:27,4/3/2022 8:43,4/3/2022 14:51
LECVN025369292983,VN9712903,LECVNLB,4/3/2022 6:48,4/3/2022 12:23,4/3/2022 8:48,4/3/2022 15:01
LECVN028222790523,VN3648710,LECVNTL,3/31/2022 12:58,4/1/2022 6:57,3/31/2022 14:58,4/1/2022 8:30
LECVN029615837233,VN4501450,LECVNLB,4/1/2022 6:15,4/2/2022 6:59,4/1/2022 8:15,4/2/2022 9:41
LECVN025111498934,VN9687112,LECVNLB,4/2/2022 6:50,4/2/2022 12:48,4/2/2022 8:50,4/2/2022 15:26
LECVN025767516503,VN9231266,LECVNTL,3/31/2022 6:15,4/1/2022 6:25,3/31/2022 8:15,4/1/2022 7:55
LECVN028238379603,VN8760881,LECVNLB,4/4/2022 6:49,4/4/2022 12:23,4/4/2022 8:49,4/4/2022 15:24
LECVN026548019364,VN5000121,LECVNLB,4/1/2022 6:53,4/2/2022 6:19,4/1/2022 8:53,4/2/2022 9:01
LECVN024816134694,VN8820940,LECVNLB,4/4/2022 6:53,4/4/2022 12:28,4/4/2022 8:53,4/4/2022 15:00
LECVN026101731493,VN3269200,LECVNLB,4/4/2022 6:38,4/4/2022 12:10,4/4/2022 8:38,4/4/2022 15:08
LECVN027719201703,VN2786566,LECVNTL,4/1/2022 12:15,4/2/2022 6:46,4/1/2022 14:15,4/2/2022 8:21
LECVN026385382973,VN5977565,LECVNLB,4/1/2022 12:40,4/2/2022 12:25,4/1/2022 14:40,4/2/2022 14:45
LECVN026934744033,VN2505703,LECVNLB,4/1/2022 12:13,4/2/2022 6:11,4/1/2022 14:13,4/2/2022 8:57
LECVN022478778504,VN8461531,LECVNHĐ,4/2/2022 12:20,4/3/2022 6:36,4/2/2022 14:20,4/3/2022 9:27
LECVN021335594593,VN9367687,LECVNLB,3/31/2022 12:52,4/1/2022 6:34,3/31/2022 14:52,4/1/2022 7:52
LECVN026572891653,VN69265,LECVNHĐ,4/1/2022 12:57,4/2/2022 6:21,4/1/2022 14:57,4/2/2022 8:51
LECVN021798070253,VN15976,LECVNLB,4/4/2022 12:10,4/4/2022 12:31,4/4/2022 14:10,4/4/2022 15:02
LECVN022216494323,VN3156830,LECVNLB,4/2/2022 6:51,4/3/2022 6:47,4/2/2022 8:51,4/3/2022 9:47
LECVN028863241963,VN4159317,LECVNHĐ,4/2/2022 12:37,4/2/2022 12:29,4/2/2022 14:37,4/2/2022 14:46
LECVN023734282273,VN6050026,LECVNLB,4/2/2022 6:53,4/3/2022 6:59,4/2/2022 8:53,4/3/2022 9:27
LECVN024295257503,VN2933585,LECVNLB,4/3/2022 12:55,4/4/2022 12:21,4/3/2022 14:55,4/4/2022 15:25
LECVN026709287764,VN6627298,LECVNTL,4/3/2022 12:23,4/3/2022 12:45,4/3/2022 14:23,4/3/2022 15:08
LECVN028517288143,VN7983291,LECVNLB,4/3/2022 12:47,4/3/2022 12:50,4/3/2022 14:47,4/3/2022 15:54
LECVN025605079174,VN2866432,LECVNLB,4/1/2022 6:09,4/2/2022 6:36,4/1/2022 8:09,4/2/2022 8:45
