Order ID,Vendor ID,HubCN ID,Plan _HubCN_Receiving Time,HubCN_Receiving Time,Plan_HubCN_Pickup Time,HubCN_Pickup Time
LECVN022946975683,CN39062,LECCNYW,3/31/2022 20:35,3/29/2022 19:28,4/1/2022 0:10,3/30/2022 6:35
LECVN024463446564,CN98042,LECCNYW,4/2/2022 8:45,4/1/2022 5:01,4/2/2022 12:52,4/1/2022 12:06
LECVN023834610763,CN91249,LECCNYW,3/31/2022 1:34,3/29/2022 5:03,3/31/2022 6:35,3/29/2022 12:05
LECVN021570713683,CN08069,LECCNSZ,4/2/2022 2:16,4/1/2022 13:29,4/2/2022 6:22,4/2/2022 0:46
LECVN028845127463,CN01970,LECCNSZ,3/30/2022 8:58,3/30/2022 19:50,3/30/2022 12:06,3/31/2022 6:23
LECVN024531472663,CN48496,LECCNYW,3/28/2022 20:46,3/29/2022 4:45,3/28/2022 23:54,3/29/2022 12:46
LECVN026400192503,CN34621,LECCNYW,3/31/2022 19:54,3/29/2022 19:25,3/31/2022 23:58,3/30/2022 6:31
LECVN026753381024,CN96121,LECCNYW,3/30/2022 1:04,3/29/2022 18:55,3/30/2022 6:11,3/30/2022 5:57
LECVN022625231773,CN80546,LECCNYW,3/30/2022 8:30,3/29/2022 19:19,3/30/2022 12:09,3/30/2022 6:25
LECVN026701247774,CN12633,LECCNSZ,3/30/2022 2:44,3/29/2022 13:33,3/30/2022 5:52,3/30/2022 0:52
LECVN027190463633,CN01970,LECCNSZ,3/28/2022 8:28,3/29/2022 13:29,3/28/2022 12:32,3/30/2022 0:51
LECVN029719237353,CN34679,LECCNYW,3/30/2022 10:04,3/29/2022 19:59,3/30/2022 12:05,3/30/2022 6:19
LECVN026826345213,CN48496,LECCNYW,4/1/2022 15:51,4/2/2022 22:03,4/1/2022 17:57,4/3/2022 6:09
LECVN026895444884,CN41627,LECCNYW,3/30/2022 14:22,3/29/2022 22:14,3/30/2022 18:24,3/30/2022 6:21
LECVN025019188034,CN91856,LECCNYW,3/31/2022 8:57,3/30/2022 16:01,3/31/2022 12:06,3/31/2022 0:02
LECVN028259705683,CN32990,LECCNYW,3/30/2022 16:30,3/29/2022 19:53,3/30/2022 18:37,3/30/2022 6:09
LECVN021677590034,CN70636,LECCNYW,3/29/2022 20:32,3/29/2022 19:22,3/30/2022 0:08,3/30/2022 6:29
LECVN020530394204,CN80546,LECCNYW,3/29/2022 2:11,3/29/2022 19:24,3/29/2022 6:19,3/30/2022 6:27
LECVN027416789313,CN32990,LECCNYW,3/28/2022 19:45,3/29/2022 4:24,3/28/2022 23:53,3/29/2022 12:31
LECVN020568745463,CN03356,LECCNSZ,3/29/2022 1:48,3/30/2022 18:45,3/29/2022 5:57,3/31/2022 6:54
LECVN022726317373,CN23003,LECCNSZ,3/29/2022 7:29,3/30/2022 19:38,3/29/2022 12:38,3/31/2022 6:09
LECVN027516983163,CN48496,LECCNYW,3/30/2022 7:54,3/29/2022 19:30,3/30/2022 11:59,3/30/2022 6:31
LECVN020878740534,CN01710,LECCNSZ,3/31/2022 9:47,4/1/2022 5:26,3/31/2022 12:50,4/1/2022 15:57
LECVN026591016533,CN70636,LECCNYW,3/28/2022 21:48,3/29/2022 19:41,3/28/2022 23:54,3/30/2022 6:44
LECVN026477499933,CN70636,LECCNYW,3/29/2022 2:41,3/29/2022 18:56,3/29/2022 6:14,3/30/2022 5:59
LECVN022115609163,CN09482,LECCNSZ,3/29/2022 15:27,3/29/2022 18:41,3/29/2022 18:31,3/30/2022 6:02
LECVN025682678973,CN48496,LECCNYW,3/30/2022 7:01,3/29/2022 18:45,3/30/2022 12:02,3/30/2022 6:52
LECVN023436683633,CN70331,LECCNYW,3/31/2022 14:49,4/1/2022 4:59,3/31/2022 18:55,4/1/2022 12:03
LECVN026138229803,CN25990,LECCNYW,3/31/2022 8:47,3/30/2022 17:40,3/31/2022 12:21,3/31/2022 0:42
LECVN024940202653,CN39062,LECCNYW,3/31/2022 22:41,3/29/2022 18:38,4/1/2022 0:47,3/30/2022 6:39
LECVN028291968514,CN03356,LECCNSZ,3/29/2022 7:34,3/29/2022 13:13,3/29/2022 12:42,3/30/2022 0:31
LECVN023018019724,CN05856,LECCNSZ,3/29/2022 2:43,3/30/2022 19:25,3/29/2022 6:50,3/31/2022 5:57
LECVN022888177633,CN95381,LECCNYW,3/31/2022 21:15,3/30/2022 17:12,4/1/2022 0:47,3/31/2022 0:20
LECVN021925037033,CN15519,LECCNSZ,3/31/2022 21:30,4/1/2022 13:12,4/1/2022 0:34,4/2/2022 0:30
LECVN022023657703,CN23003,LECCNSZ,4/1/2022 15:03,3/31/2022 17:52,4/1/2022 18:06,4/1/2022 5:53
LECVN026315064893,CN41627,LECCNYW,3/31/2022 8:09,3/29/2022 18:32,3/31/2022 12:14,3/30/2022 6:37
LECVN021574030143,CN48496,LECCNYW,3/29/2022 8:01,3/29/2022 4:38,3/29/2022 12:06,3/29/2022 12:40
LECVN028574481793,CN91249,LECCNYW,4/2/2022 20:26,4/1/2022 5:23,4/3/2022 0:04,4/1/2022 12:26
LECVN021278474643,CN69053,LECCNYW,3/30/2022 9:02,3/30/2022 17:40,3/30/2022 12:34,3/31/2022 0:42
LECVN022748918113,CN91236,LECCNYW,3/30/2022 22:07,3/29/2022 19:13,3/31/2022 0:15,3/30/2022 6:15
LECVN023295195943,CN52975,LECCNYW,3/31/2022 19:25,4/1/2022 5:10,4/1/2022 0:29,4/1/2022 12:12
LECVN027122305413,CN34621,LECCNYW,3/29/2022 19:48,3/29/2022 19:32,3/30/2022 0:49,3/30/2022 6:37
LECVN024153494464,CN48496,LECCNYW,4/1/2022 8:41,3/29/2022 22:37,4/1/2022 12:17,3/30/2022 6:43
LECVN029773900973,CN03356,LECCNSZ,3/29/2022 3:00,3/29/2022 14:01,3/29/2022 6:02,3/30/2022 0:40
LECVN027204606253,CN03356,LECCNSZ,4/1/2022 3:11,3/31/2022 17:50,4/1/2022 6:48,4/1/2022 5:58
LECVN022948648673,CN03356,LECCNSZ,3/30/2022 8:50,3/29/2022 18:46,3/30/2022 12:23,3/30/2022 6:06
LECVN027347891303,CN11320,LECCNSZ,3/30/2022 1:30,3/29/2022 12:52,3/30/2022 6:33,3/30/2022 0:09
LECVN029579901113,CN32990,LECCNYW,3/27/2022 15:18,3/26/2022 23:05,3/27/2022 18:19,3/27/2022 6:08
LECVN021432582193,CN14209,LECCNSZ,3/31/2022 18:49,3/29/2022 18:42,3/31/2022 23:54,3/30/2022 6:47
LECVN021253926264,CN69607,LECCNYW,3/30/2022 15:06,3/29/2022 19:09,3/30/2022 18:42,3/30/2022 6:17
LECVN022652069033,CN34621,LECCNYW,4/1/2022 1:56,3/29/2022 22:05,4/1/2022 6:57,3/30/2022 6:12
LECVN020309347563,CN00328,LECCNSZ,3/29/2022 21:14,3/30/2022 20:39,3/30/2022 0:48,3/31/2022 6:42
LECVN023062583933,CN03356,LECCNSZ,3/30/2022 13:33,3/30/2022 20:09,3/30/2022 18:39,3/31/2022 6:43
LECVN027822585873,CN01710,LECCNSZ,4/2/2022 1:19,4/1/2022 11:54,4/2/2022 6:21,4/1/2022 23:57
LECVN027026131143,CN08069,LECCNSZ,3/31/2022 20:20,4/1/2022 13:02,3/31/2022 23:55,4/2/2022 0:23
LECVN026191312283,CN93476,LECCNYW,3/30/2022 13:00,3/29/2022 20:15,3/30/2022 18:05,3/30/2022 6:38
LECVN028199248684,CN96121,LECCNYW,3/30/2022 13:32,3/29/2022 4:24,3/30/2022 18:33,3/29/2022 12:25
LECVN029990872023,CN91856,LECCNYW,4/2/2022 4:05,4/1/2022 5:45,4/2/2022 6:07,4/1/2022 12:54
LECVN024773942363,CN25990,LECCNYW,4/1/2022 1:44,4/1/2022 5:06,4/1/2022 6:46,4/1/2022 12:08
LECVN020250708863,CN88991,LECCNYW,3/30/2022 8:25,3/29/2022 19:47,3/30/2022 12:02,3/30/2022 6:07
LECVN028155037143,CN34621,LECCNYW,3/28/2022 21:01,3/30/2022 19:34,3/29/2022 0:37,4/1/2022 6:37
LECVN028852893883,CN15519,LECCNSZ,3/29/2022 18:49,3/31/2022 18:42,3/29/2022 23:58,4/1/2022 6:01
LECVN027015516393,CN39062,LECCNYW,3/31/2022 8:23,4/1/2022 5:02,3/31/2022 12:00,4/1/2022 12:06
LECVN026314970723,CN32990,LECCNYW,3/29/2022 4:04,3/29/2022 20:19,3/29/2022 6:07,3/30/2022 6:39
LECVN024752371693,CN93476,LECCNYW,3/31/2022 21:51,3/29/2022 5:21,3/31/2022 23:56,3/29/2022 12:27
LECVN021822229043,CN94806,LECCNYW,4/2/2022 2:29,4/1/2022 4:53,4/2/2022 6:00,4/1/2022 11:59
LECVN024631469633,CN19661,LECCNSZ,3/31/2022 14:27,3/29/2022 13:32,3/31/2022 18:00,3/30/2022 0:08
LECVN029537013964,CN15519,LECCNSZ,3/29/2022 8:09,3/29/2022 13:05,3/29/2022 12:17,3/30/2022 0:27
LECVN025829867694,CN32990,LECCNYW,3/28/2022 15:06,3/29/2022 4:06,3/28/2022 18:08,3/29/2022 12:12
LECVN025716861674,CN19661,LECCNSZ,3/31/2022 21:10,4/1/2022 12:04,4/1/2022 0:49,4/2/2022 0:05
LECVN027941949793,CN93476,LECCNYW,4/1/2022 6:57,4/1/2022 5:11,4/1/2022 11:58,4/1/2022 12:17
LECVN020384087613,CN93476,LECCNYW,3/27/2022 20:32,3/27/2022 22:12,3/28/2022 0:05,3/28/2022 6:16
LECVN026093608543,CN88991,LECCNYW,3/28/2022 9:47,3/26/2022 22:59,3/28/2022 12:49,3/27/2022 6:02
LECVN024003351383,CN73456,LECCNYW,3/28/2022 15:00,3/29/2022 19:02,3/28/2022 18:08,3/30/2022 6:06
LECVN024988184294,CN26450,LECCNYW,4/1/2022 9:18,4/1/2022 22:25,4/1/2022 12:51,4/2/2022 6:32
LECVN024873820354,CN39062,LECCNYW,4/1/2022 3:54,4/1/2022 5:23,4/1/2022 6:55,4/1/2022 12:31
LECVN026393477494,CN73456,LECCNYW,4/1/2022 9:26,3/29/2022 22:18,4/1/2022 12:35,3/30/2022 6:19
LECVN028298588493,CN59935,LECCNYW,3/31/2022 20:47,4/1/2022 5:29,4/1/2022 0:23,4/1/2022 12:31
LECVN021470961703,CN85292,LECCNYW,3/31/2022 2:24,3/29/2022 5:25,3/31/2022 5:58,3/29/2022 12:29
LECVN021557307413,CN28326,LECCNYW,3/30/2022 8:05,3/29/2022 18:36,3/30/2022 12:09,3/30/2022 6:43
LECVN022391107294,CN08863,LECCNSZ,3/31/2022 10:00,3/31/2022 18:28,3/31/2022 12:04,4/1/2022 6:31
LECVN028072248983,CN27928,LECCNYW,3/31/2022 8:57,3/29/2022 20:02,3/31/2022 12:28,3/30/2022 6:20
LECVN028804970833,CN70331,LECCNYW,4/1/2022 1:35,4/1/2022 4:51,4/1/2022 6:40,4/1/2022 12:00
LECVN020236528563,CN00328,LECCNSZ,3/31/2022 19:53,3/31/2022 18:50,3/31/2022 23:57,4/1/2022 6:13
LECVN024604411113,CN48496,LECCNYW,3/31/2022 22:21,3/30/2022 16:00,4/1/2022 0:30,3/31/2022 0:04
LECVN021705046654,CN39062,LECCNYW,3/29/2022 9:18,3/29/2022 19:23,3/29/2022 12:53,3/30/2022 6:32
LECVN022779561543,CN69053,LECCNYW,3/28/2022 15:10,3/29/2022 4:39,3/28/2022 18:49,3/29/2022 12:46
LECVN023321932894,CN03356,LECCNSZ,3/29/2022 20:28,3/29/2022 12:51,3/30/2022 0:29,3/30/2022 0:09
LECVN021095618213,CN41627,LECCNYW,3/31/2022 19:09,3/29/2022 19:20,4/1/2022 0:14,3/30/2022 6:22
LECVN026130279003,CN15519,LECCNSZ,3/30/2022 1:48,3/29/2022 13:12,3/30/2022 5:54,3/30/2022 0:30
LECVN027061475623,CN14209,LECCNSZ,3/27/2022 22:17,3/28/2022 19:59,3/28/2022 0:19,3/29/2022 6:38
LECVN023646180093,CN80546,LECCNYW,3/29/2022 14:48,3/26/2022 23:10,3/29/2022 18:20,3/27/2022 6:12
LECVN021723774083,CN11320,LECCNSZ,3/31/2022 9:55,3/29/2022 18:41,3/31/2022 11:59,3/30/2022 5:57
LECVN020507357873,CN48496,LECCNYW,3/31/2022 8:48,3/29/2022 19:26,3/31/2022 11:57,3/30/2022 6:31
LECVN027375269143,CN41627,LECCNYW,3/27/2022 22:15,3/29/2022 4:41,3/28/2022 0:23,3/29/2022 12:49
LECVN023084759233,CN00328,LECCNSZ,3/31/2022 14:24,4/1/2022 13:14,3/31/2022 18:01,4/2/2022 0:30
LECVN025981077393,CN75189,LECCNYW,4/1/2022 2:00,4/1/2022 5:27,4/1/2022 6:03,4/1/2022 12:30
LECVN026269008183,CN73456,LECCNYW,3/31/2022 10:30,3/29/2022 19:42,3/31/2022 12:31,3/30/2022 5:58
LECVN024174410093,CN69053,LECCNYW,3/29/2022 2:36,3/29/2022 4:29,3/29/2022 6:37,3/29/2022 12:30
LECVN027267884903,CN56433,LECCNYW,3/29/2022 1:13,3/29/2022 19:19,3/29/2022 6:14,3/30/2022 6:22
LECVN023239217773,CN48496,LECCNYW,4/1/2022 20:02,3/30/2022 17:50,4/2/2022 0:09,3/31/2022 0:54
LECVN020354225134,CN32990,LECCNYW,3/31/2022 22:14,3/29/2022 20:01,4/1/2022 0:20,3/30/2022 6:22
LECVN024586614393,CN14209,LECCNSZ,3/28/2022 16:20,3/30/2022 19:48,3/28/2022 18:28,3/31/2022 6:24
LECVN029549665493,CN32990,LECCNYW,3/29/2022 7:10,3/29/2022 4:11,3/29/2022 12:16,3/29/2022 12:17
LECVN027425870413,CN25990,LECCNYW,3/29/2022 19:33,3/30/2022 16:23,3/30/2022 0:34,3/31/2022 0:32
LECVN024454189993,CN32990,LECCNYW,3/31/2022 13:06,4/1/2022 4:56,3/31/2022 18:14,4/1/2022 12:04
LECVN022727293113,CN48496,LECCNYW,3/28/2022 21:00,3/29/2022 20:20,3/29/2022 0:07,3/30/2022 6:39
LECVN020087071103,CN11320,LECCNSZ,3/31/2022 8:25,3/31/2022 18:04,3/31/2022 12:31,4/1/2022 6:06
LECVN021072786013,CN03356,LECCNSZ,3/28/2022 16:37,3/30/2022 20:09,3/28/2022 18:46,3/31/2022 6:43
LECVN029155133053,CN32990,LECCNYW,3/29/2022 7:12,3/29/2022 4:36,3/29/2022 12:16,3/29/2022 12:40
LECVN027030985373,CN54850,LECCNYW,3/29/2022 2:37,3/26/2022 22:13,3/29/2022 6:13,3/27/2022 6:17
LECVN023983253414,CN00328,LECCNSZ,3/29/2022 9:16,3/28/2022 19:26,3/29/2022 12:21,3/29/2022 6:46
LECVN020103363143,CN08069,LECCNSZ,3/30/2022 20:48,3/30/2022 19:20,3/31/2022 0:56,3/31/2022 5:58
LECVN026101450893,CN70331,LECCNYW,3/30/2022 16:43,4/1/2022 22:03,3/30/2022 18:50,4/2/2022 6:08
LECVN025508229124,CN48496,LECCNYW,3/29/2022 13:48,3/29/2022 4:13,3/29/2022 18:50,3/29/2022 12:17
LECVN021659093123,CN59935,LECCNYW,3/31/2022 21:06,3/29/2022 18:53,4/1/2022 0:37,3/30/2022 6:54
LECVN028110504653,CN20296,LECCNSZ,3/29/2022 14:26,3/28/2022 19:55,3/29/2022 18:03,3/29/2022 6:31
LECVN026982903714,CN32990,LECCNYW,3/30/2022 8:23,3/29/2022 18:54,3/30/2022 12:28,3/30/2022 5:57
LECVN029519169013,CN32990,LECCNYW,3/30/2022 22:34,3/29/2022 4:04,3/31/2022 0:39,3/29/2022 12:12
LECVN021384292873,CN48496,LECCNYW,3/31/2022 22:24,3/30/2022 17:36,4/1/2022 0:27,3/31/2022 0:41
LECVN024522632313,CN39062,LECCNYW,3/31/2022 7:51,3/30/2022 16:16,3/31/2022 11:56,3/31/2022 0:22
LECVN025889606153,CN39062,LECCNYW,3/30/2022 9:45,3/29/2022 4:23,3/30/2022 12:51,3/29/2022 12:28
LECVN029660672843,CN39062,LECCNYW,3/28/2022 15:05,3/29/2022 20:25,3/28/2022 18:39,3/30/2022 6:45
LECVN027831073653,CN52975,LECCNYW,3/30/2022 13:04,3/30/2022 16:31,3/30/2022 18:06,3/31/2022 0:35
LECVN024292482833,CN41627,LECCNYW,3/28/2022 14:29,3/29/2022 4:18,3/28/2022 18:05,3/29/2022 12:27
LECVN024014676594,CN48496,LECCNYW,3/30/2022 16:46,3/29/2022 20:35,3/30/2022 18:50,3/30/2022 6:54
LECVN029886064254,CN70636,LECCNYW,3/28/2022 12:49,3/29/2022 20:26,3/28/2022 17:57,3/30/2022 6:44
LECVN024780661943,CN75189,LECCNYW,4/2/2022 2:50,4/1/2022 5:22,4/2/2022 6:21,4/1/2022 12:25
LECVN020350253924,CN78864,LECCNYW,3/30/2022 8:33,3/29/2022 19:26,3/30/2022 12:09,3/30/2022 6:35
LECVN023304441363,CN70636,LECCNYW,3/29/2022 19:20,3/29/2022 4:39,3/30/2022 0:23,3/29/2022 12:43
LECVN026040644063,CN96121,LECCNYW,3/31/2022 3:33,3/29/2022 22:23,3/31/2022 6:37,3/30/2022 6:30
LECVN025258467333,CN03356,LECCNSZ,3/30/2022 3:09,3/30/2022 19:29,3/30/2022 6:43,3/31/2022 6:00
LECVN021297129673,CN08069,LECCNSZ,3/27/2022 22:04,3/29/2022 13:21,3/28/2022 0:05,3/30/2022 0:42
LECVN021546631543,CN93476,LECCNYW,3/29/2022 2:32,3/26/2022 23:01,3/29/2022 6:11,3/27/2022 6:09
LECVN028597908223,CN91287,LECCNYW,3/30/2022 13:18,3/29/2022 5:02,3/30/2022 18:26,3/29/2022 12:11
LECVN023979055113,CN25266,LECCNYW,3/30/2022 20:48,3/29/2022 5:36,3/30/2022 23:57,3/29/2022 12:44
LECVN021441775423,CN70636,LECCNYW,3/29/2022 14:32,3/26/2022 21:54,3/29/2022 18:37,3/27/2022 6:02
LECVN024408794104,CN25990,LECCNYW,3/30/2022 14:27,3/30/2022 17:19,3/30/2022 18:34,3/31/2022 0:20
LECVN025369292983,CN03356,LECCNSZ,4/1/2022 15:40,4/1/2022 5:40,4/1/2022 18:42,4/1/2022 16:18
LECVN028222790523,CN32990,LECCNYW,3/28/2022 9:49,3/26/2022 23:45,3/28/2022 12:51,3/27/2022 6:52
LECVN029615837233,CN93476,LECCNYW,3/30/2022 13:03,3/29/2022 20:37,3/30/2022 18:07,3/30/2022 6:58
LECVN025111498934,CN00328,LECCNSZ,3/31/2022 13:42,3/29/2022 13:28,3/31/2022 18:44,3/30/2022 0:46
LECVN025767516503,CN08969,LECCNSZ,3/27/2022 13:07,3/28/2022 18:16,3/27/2022 18:14,3/29/2022 6:20
LECVN028238379603,CN28326,LECCNYW,4/2/2022 3:38,4/1/2022 5:12,4/2/2022 6:43,4/1/2022 12:14
LECVN026548019364,CN80546,LECCNYW,3/29/2022 1:42,3/29/2022 19:12,3/29/2022 6:45,3/30/2022 6:18
LECVN024816134694,CN52975,LECCNYW,3/31/2022 15:10,4/1/2022 5:14,3/31/2022 18:44,4/1/2022 12:20
LECVN026101731493,CN14209,LECCNSZ,3/31/2022 15:30,4/1/2022 12:04,3/31/2022 18:31,4/2/2022 0:05
LECVN027719201703,CN96121,LECCNYW,3/29/2022 8:08,3/29/2022 20:24,3/29/2022 12:10,3/30/2022 6:43
LECVN026385382973,CN70331,LECCNYW,3/29/2022 10:32,3/29/2022 5:16,3/29/2022 12:35,3/29/2022 12:20
LECVN026934744033,CN48496,LECCNYW,3/30/2022 19:10,3/29/2022 19:45,3/31/2022 0:12,3/30/2022 6:05
LECVN022478778504,CN08863,LECCNSZ,3/29/2022 20:40,3/29/2022 19:52,3/30/2022 0:15,3/30/2022 6:30
LECVN021335594593,CN52975,LECCNYW,3/27/2022 21:45,3/26/2022 23:22,3/28/2022 0:47,3/27/2022 6:28
LECVN026572891653,CN32990,LECCNYW,3/30/2022 22:44,3/29/2022 19:57,3/31/2022 0:53,3/30/2022 6:14
LECVN021798070253,CN41627,LECCNYW,4/1/2022 10:01,4/1/2022 5:21,4/1/2022 12:05,4/1/2022 12:27
LECVN022216494323,CN85292,LECCNYW,3/31/2022 3:08,3/29/2022 18:36,3/31/2022 6:47,3/30/2022 6:38
LECVN028863241963,CN39062,LECCNYW,3/29/2022 21:31,3/29/2022 5:17,3/30/2022 0:34,3/29/2022 12:25
LECVN023734282273,CN93476,LECCNYW,3/29/2022 15:42,3/29/2022 18:53,3/29/2022 18:51,3/30/2022 6:54
LECVN024295257503,CN91249,LECCNYW,4/1/2022 9:48,4/1/2022 5:11,4/1/2022 12:49,4/1/2022 12:16
LECVN026709287764,CN98923,LECCNYW,4/1/2022 8:46,3/30/2022 17:39,4/1/2022 12:22,3/31/2022 0:40
LECVN028517288143,CN08069,LECCNSZ,4/1/2022 19:34,4/1/2022 6:11,4/2/2022 0:42,4/1/2022 16:49
LECVN025605079174,CN08069,LECCNSZ,3/30/2022 15:00,3/30/2022 19:55,3/30/2022 18:02,3/31/2022 6:32
LECVN029326089213,CN80546,LECCNYW,3/31/2022 20:39,3/29/2022 4:15,4/1/2022 0:11,3/29/2022 12:16
LECVN022477438193,CN26450,LECCNYW,3/30/2022 16:24,3/29/2022 20:26,3/30/2022 18:26,3/30/2022 6:44
LECVN027375221673,CN25990,LECCNYW,3/28/2022 6:54,3/28/2022 23:30,3/28/2022 11:59,3/29/2022 6:36
